_id,createdAt,firstName,lastName,email,birthday,gender,highestDegreeEarned,countryISO2,admissionsQuiz
64f441952cd091f067188fec,6/7/22 11:41,Adam,Yong,adam.yong37@yahow.com,3/22/79,male,Bachelor's degree,BD,complete
64f441952cd091f067188fed,6/11/22 17:25,Janice,Choy,janice.choy75@hotmeal.com,5/30/99,female,Bachelor's degree,IN,incomplete
64f441952cd091f067188fee,6/20/22 4:42,James,Smith,james.smith16@hotmeal.com,10/9/03,male,Bachelor's degree,NG,incomplete
64f441952cd091f067188fef,6/2/22 19:57,Juan,Warden,juan.warden76@yahow.com,7/14/84,male,Master's degree,NG,complete
64f441952cd091f067188ff0,6/29/22 13:50,Michael,Mautone,michael.mautone98@yahow.com,9/24/84,male,High School or Baccalaureate,LR,incomplete
64f441952cd091f067188ff1,6/4/22 12:22,Thomas,Turner,thomas.turner98@gmall.com,12/16/96,male,Master's degree,NG,complete
64f441952cd091f067188ff2,6/18/22 3:35,Rod,Huskey,rod.huskey65@yahow.com,6/1/62,male,High School or Baccalaureate,IN,complete
64f441952cd091f067188ff3,6/6/22 16:40,Roger,Delfin,roger.delfin23@hotmeal.com,12/5/93,male,Bachelor's degree,ET,complete
64f441952cd091f067188ff4,6/16/22 22:41,Stephen,Melton,stephen.melton7@microsift.com,8/5/83,male,High School or Baccalaureate,IN,complete
64f441952cd091f067188ff5,6/11/22 22:31,Cristi,Smith,cristi.smith66@hotmeal.com,3/7/83,female,Bachelor's degree,IN,complete
64f441952cd091f067188ff6,6/12/22 2:24,Matthew,Pleasant,matthew.pleasant65@gmall.com,9/30/95,male,High School or Baccalaureate,ET,complete
64f441952cd091f067188ff7,6/20/22 6:33,Frederick,Dias,frederick.dias28@hotmeal.com,11/16/01,male,Master's degree,IN,complete
64f441952cd091f067188ff8,6/3/22 7:34,Larry,Peralta,larry.peralta67@gmall.com,12/31/99,male,Bachelor's degree,ZA,complete
64f441952cd091f067188ff9,6/20/22 7:45,Paul,Warren,paul.warren21@yahow.com,12/18/86,male,Bachelor's degree,NG,complete
64f441952cd091f067188ffa,6/21/22 13:58,Thomas,Allen,thomas.allen24@yahow.com,3/2/96,male,Some College (1-3 years),IN,complete
64f441952cd091f067188ffb,6/12/22 7:30,Todd,Gaston,todd.gaston60@hotmeal.com,2/14/98,male,Bachelor's degree,PK,complete
64f441952cd091f067188ffc,6/15/22 11:38,Emanuel,Jimerson,emanuel.jimerson6@microsift.com,1/23/92,male,Master's degree,IN,complete
64f441952cd091f067188ffd,6/4/22 10:14,James,Conner,james.conner61@yahow.com,7/6/04,male,Bachelor's degree,BD,complete
64f441952cd091f067188ffe,6/25/22 21:13,Raymond,Reif,raymond.reif49@microsift.com,7/19/91,male,Bachelor's degree,PK,complete
64f441952cd091f067188fff,6/13/22 0:18,David,Hernandez,david.hernandez59@gmall.com,7/10/96,male,Bachelor's degree,PH,complete
64f441952cd091f067189000,6/19/22 18:53,Otis,Bielinski,otis.bielinski64@gmall.com,8/11/88,male,Some College (1-3 years),PH,incomplete
64f441952cd091f067189001,6/2/22 6:42,Alonzo,Patterson,alonzo.patterson79@microsift.com,12/17/94,male,Bachelor's degree,PK,complete
64f441952cd091f067189002,6/4/22 10:02,Samuel,Davis,samuel.davis71@gmall.com,5/18/90,male,Master's degree,IN,complete
64f441952cd091f067189003,6/14/22 13:25,Mary,Nordin,mary.nordin86@hotmeal.com,4/17/02,female,Master's degree,IN,complete
64f441952cd091f067189004,6/23/22 15:46,Evelyn,Kallas,evelyn.kallas69@hotmeal.com,9/26/99,female,Master's degree,PK,incomplete
64f441952cd091f067189005,6/7/22 4:07,Ruben,Kelley,ruben.kelley28@hotmeal.com,7/18/81,male,Bachelor's degree,ZW,complete
64f441952cd091f067189006,6/6/22 3:42,Misty,Harris,misty.harris61@hotmeal.com,9/27/98,female,Master's degree,ZM,complete
64f441952cd091f067189007,6/2/22 1:27,Kathy,Saenz,kathy.saenz65@hotmeal.com,8/28/98,female,High School or Baccalaureate,IN,complete
64f441952cd091f067189008,6/16/22 4:02,Sean,Orick,sean.orick25@microsift.com,9/4/64,male,Bachelor's degree,PK,complete
